gpcBrickCode,category
10006302,MEAT_POULTRY_AND_FISH
10006303,MEAT_POULTRY_AND_FISH
10006304,MEAT_POULTRY_AND_FISH
10006305,MEAT_POULTRY_AND_FISH
10006306,MEAT_POULTRY_AND_FISH
10006307,MEAT_POULTRY_AND_FISH
10006308,MEAT_POULTRY_AND_FISH
10006309,MEAT_POULTRY_AND_FISH
10006393,MEAT_POULTRY_AND_FISH
10006394,MEAT_POULTRY_AND_FISH
10008107,MEAT_POULTRY_AND_FISH
10008108,MEAT_POULTRY_AND_FISH
10008245,MEAT_POULTRY_AND_FISH
10008246,MEAT_POULTRY_AND_FISH
10008249,MEAT_POULTRY_AND_FISH
10008250,MEAT_POULTRY_AND_FISH
10008251,MEAT_POULTRY_AND_FISH
10008252,MEAT_POULTRY_AND_FISH
10008253,MEAT_POULTRY_AND_FISH
10008256,MEAT_POULTRY_AND_FISH
10008257,MEAT_POULTRY_AND_FISH
10008258,MEAT_POULTRY_AND_FISH
10008319,MEAT_POULTRY_AND_FISH
10008320,MEAT_POULTRY_AND_FISH
10008321,MEAT_POULTRY_AND_FISH
10008322,MEAT_POULTRY_AND_FISH
10008323,MEAT_POULTRY_AND_FISH
10008324,MEAT_POULTRY_AND_FISH
10008325,MEAT_POULTRY_AND_FISH
10008326,MEAT_POULTRY_AND_FISH
10008327,MEAT_POULTRY_AND_FISH
10008328,MEAT_POULTRY_AND_FISH
10008329,MEAT_POULTRY_AND_FISH
10008330,MEAT_POULTRY_AND_FISH
10008331,MEAT_POULTRY_AND_FISH
10008332,MEAT_POULTRY_AND_FISH
10008333,MEAT_POULTRY_AND_FISH
10008334,MEAT_POULTRY_AND_FISH
10008335,MEAT_POULTRY_AND_FISH
10008336,MEAT_POULTRY_AND_FISH
10008337,MEAT_POULTRY_AND_FISH
10008338,MEAT_POULTRY_AND_FISH
10000007,CEREALS_AND_GRAINS
10000008,CEREALS_AND_GRAINS
10000207,CEREALS_AND_GRAINS
10000211,CEREALS_AND_GRAINS
10000235,CEREALS_AND_GRAINS
10000236,CEREALS_AND_GRAINS
10000284,CEREALS_AND_GRAINS
10000285,CEREALS_AND_GRAINS
10000286,CEREALS_AND_GRAINS
10000315,CEREALS_AND_GRAINS
10000316,CEREALS_AND_GRAINS
10000319,CEREALS_AND_GRAINS
10000600,CEREALS_AND_GRAINS
10000601,CEREALS_AND_GRAINS
10000604,CEREALS_AND_GRAINS
10000002,FROZEN
10000005,FROZEN
10000017,FROZEN
10000020,FROZEN
10000027,FROZEN
10000030,FROZEN
10000056,FROZEN
10000138,FROZEN
10000145,FROZEN
10000148,FROZEN
10000151,FROZEN
10000155,FROZEN
10000157,FROZEN
10000163,FROZEN
10000167,FROZEN
10000170,FROZEN
10000188,FROZEN
10000193,FROZEN
10000196,FROZEN
10000204,FROZEN
10000212,FROZEN
10000215,FROZEN
10000245,FROZEN
10000248,FROZEN
10000254,FROZEN
10000256,FROZEN
10000260,FROZEN
10000270,FROZEN
10000277,FROZEN
10000281,FROZEN
10000291,FROZEN
10000296,FROZEN
10000301,FROZEN
10000304,FROZEN
10000305,FROZEN
10000307,FROZEN
10000314,FROZEN
10000318,FROZEN
10000576,FROZEN
10000577,FROZEN
10000580,FROZEN
10000583,FROZEN
10000586,FROZEN
10000626,FROZEN
10000629,FROZEN
10005224,FROZEN
10005823,FROZEN
10005827,FROZEN
10006250,FROZEN
10006253,FROZEN
10006273,FROZEN
10006314,FROZEN
10006317,FROZEN
10006320,FROZEN
10006323,FROZEN
10006748,FROZEN
10006969,FROZEN
10006975,FROZEN
10006978,FROZEN
10006983,FROZEN
10006985,FROZEN
10006988,FROZEN
10006995,FROZEN
10008244,FROZEN
10008247,FROZEN
10008248,FROZEN
10008254,FROZEN
10008255,FROZEN
10000003,PRESERVES_AND_CANNED_GOODS
10000006,PRESERVES_AND_CANNED_GOODS
10000018,PRESERVES_AND_CANNED_GOODS
10000147,PRESERVES_AND_CANNED_GOODS
10000153,PRESERVES_AND_CANNED_GOODS
10000180,PRESERVES_AND_CANNED_GOODS
10000206,PRESERVES_AND_CANNED_GOODS
10000238,PRESERVES_AND_CANNED_GOODS
10000239,PRESERVES_AND_CANNED_GOODS
10000244,PRESERVES_AND_CANNED_GOODS
10000258,PRESERVES_AND_CANNED_GOODS
10000272,PRESERVES_AND_CANNED_GOODS
10000587,PRESERVES_AND_CANNED_GOODS
10000616,PRESERVES_AND_CANNED_GOODS
10000045,SWEETS_AND_DESSERTS
10000047,SWEETS_AND_DESSERTS
10000187,SWEETS_AND_DESSERTS
10000194,SWEETS_AND_DESSERTS
10000195,SWEETS_AND_DESSERTS
10000197,SWEETS_AND_DESSERTS
10000213,SWEETS_AND_DESSERTS
10000216,SWEETS_AND_DESSERTS
10000217,SWEETS_AND_DESSERTS
10000312,SWEETS_AND_DESSERTS
10000602,SWEETS_AND_DESSERTS
10000611,SWEETS_AND_DESSERTS
10000621,SWEETS_AND_DESSERTS
10000622,SWEETS_AND_DESSERTS
10006390,SWEETS_AND_DESSERTS
10006837,SWEETS_AND_DESSERTS
10006848,SWEETS_AND_DESSERTS
10008458,SWEETS_AND_DESSERTS
10000068,FLOURS_YEAST_AND_MIXES
10000069,FLOURS_YEAST_AND_MIXES
10000156,FLOURS_YEAST_AND_MIXES
10000158,FLOURS_YEAST_AND_MIXES
10000203,FLOURS_YEAST_AND_MIXES
10000595,FLOURS_YEAST_AND_MIXES
